x_m,y_m,w_tr_right_m,w_tr_left_m
-1.120000,1.604172,0.6892,0.6892
-1.170000,1.569520,0.7000,0.7000
-1.220000,1.534868,0.6698,0.6698
-1.270000,1.503747,0.6795,0.6795
-1.322795,1.472544,0.6892,0.6892
-1.374037,1.440442,0.6591,0.6591
-1.426685,1.406623,0.6795,0.6795
-1.479349,1.370272,0.6795,0.6795
-1.530804,1.335080,0.6591,0.6591
-1.577192,1.297601,0.6698,0.6698
-1.619166,1.257179,0.6698,0.6698
-1.660177,1.217673,0.6698,0.6698
-1.696528,1.175796,0.6795,0.6795
-1.731834,1.131059,0.7000,0.7000
-1.768153,1.082972,0.6892,0.6892
-1.800566,1.035554,0.7091,0.7091
-1.828826,0.985685,0.7291,0.7291
-1.852854,0.933037,0.7091,0.7091
-1.875525,0.881795,0.7492,0.7492
-1.892736,0.829000,0.7295,0.7295
-1.905060,0.779000,0.7197,0.7197
-1.916028,0.729000,0.7098,0.7098
-1.922190,0.679000,0.7500,0.7500
-1.924773,0.629000,0.7598,0.7598
-1.927960,0.579000,0.7697,0.7697
-1.927241,0.529000,0.7795,0.7795
-1.922779,0.479000,0.7894,0.7894
-1.914900,0.429000,0.7492,0.7492
-1.902380,0.379000,0.7591,0.7591
-1.884155,0.326205,0.7689,0.7689
-1.863838,0.272168,0.7492,0.7492
-1.842573,0.218278,0.7591,0.7591
-1.817319,0.165760,0.7291,0.7291
-1.792507,0.112884,0.7398,0.7398
-1.765587,0.064894,0.7291,0.7291
-1.732455,0.022364,0.6892,0.6892
-1.696316,-0.014298,0.7194,0.7194
-1.657741,-0.044848,0.6894,0.6894
-1.617466,-0.069202,0.6992,0.6992
-1.571880,-0.087443,0.6492,0.6492
-1.524675,-0.099817,0.6500,0.6500
-1.476914,-0.106731,0.6492,0.6492
-1.425312,-0.108757,0.6394,0.6394
-1.373890,-0.106633,0.6192,0.6192
-1.324037,-0.101255,0.5992,0.5992
-1.272795,-0.093687,0.5894,0.5894
-1.220000,-0.085155,0.5795,0.5795
-1.170000,-0.077048,0.5697,0.5697
-1.120000,-0.070918,0.5098,0.5098
-1.070000,-0.068483,0.5000,0.5000
-1.020000,-0.067110,0.5000,0.5000
-0.970000,-0.066963,0.5000,0.5000
-0.920000,-0.071000,0.5094,0.5094
-0.870000,-0.075037,0.4894,0.4894
-0.820000,-0.074890,0.4795,0.4795
-0.770000,-0.073517,0.4697,0.4697
-0.720000,-0.073877,0.4598,0.4598
-0.670000,-0.071785,0.4500,0.4500
-0.620000,-0.067568,0.5000,0.5000
-0.570000,-0.061552,0.5000,0.5000
-0.520000,-0.056861,0.5000,0.5000
-0.470000,-0.049473,0.5000,0.5000
-0.420000,-0.039879,0.5000,0.5000
-0.370000,-0.028568,0.5000,0.5000
-0.320000,-0.018826,0.5500,0.5500
-0.270000,-0.006796,0.5500,0.5500
-0.220000,0.006869,0.5500,0.5500
-0.170000,0.018719,0.5500,0.5500
-0.120000,0.032449,0.6000,0.6000
-0.070000,0.047241,0.6000,0.6000
-0.020000,0.059484,0.6000,0.6000
0.030000,0.072707,0.6098,0.6098
0.080000,0.085930,0.6697,0.6697
0.130000,0.102684,0.6795,0.6795
0.180000,0.116561,0.6894,0.6894
0.230000,0.131092,0.7492,0.7492
0.280000,0.145296,0.7492,0.7492
0.330000,0.159909,0.7394,0.7394
0.380000,0.175666,0.7295,0.7295
0.430000,0.191586,0.7697,0.7697
0.480000,0.203894,0.7598,0.7598
0.530000,0.220468,0.7500,0.7500
0.580000,0.237532,0.8098,0.8098
0.630000,0.254106,0.8197,0.8197
0.680000,0.266414,0.8295,0.8295
0.730000,0.282334,0.8894,0.8894
0.780000,0.298091,0.8992,0.8992
0.830000,0.309909,0.9091,0.9091
0.880000,0.325666,0.9189,0.9189
0.930000,0.341586,0.9788,0.9788
0.980000,0.353894,0.9886,0.9886
1.030000,0.370468,1.0188,1.0188
1.080000,0.387532,1.0788,1.0788
1.130000,0.404106,1.0886,1.0886
1.180000,0.419209,1.0984,1.0984
1.230000,0.439167,1.1684,1.1684
1.280000,0.458814,1.1788,1.1788
1.330000,0.473148,1.1886,1.1886
1.380000,0.488987,1.2484,1.2484
1.430000,0.498859,1.2500,1.2500
1.480000,0.505398,1.2500,1.2500
1.530000,0.508601,1.2500,1.2500
1.580000,0.505839,1.2500,1.2500
1.630000,0.497274,1.2500,1.2500
1.680000,0.483070,1.2500,1.2500
1.730000,0.470697,1.2000,1.2000
1.780000,0.456133,1.2000,1.2000
1.830000,0.435522,1.2000,1.2000
1.880000,0.416823,1.1500,1.1500
1.930000,0.393711,1.1500,1.1500
1.980000,0.367166,1.1000,1.1000
2.030000,0.345476,1.1000,1.1000
2.080000,0.322642,1.0492,1.0492
2.130000,0.299971,1.0394,1.0394
2.180000,0.278771,0.9795,0.9795
2.230000,0.263145,0.9697,0.9697
2.280000,0.245541,0.9598,0.9598
2.330000,0.225551,0.9000,0.9000
2.380000,0.207114,0.9000,0.9000
2.430000,0.186862,0.9000,0.9000
2.480000,0.168572,0.8492,0.8492
2.530000,0.148712,0.8394,0.8394
2.580000,0.130896,0.8295,0.8295
2.630000,0.118735,0.7697,0.7697
2.680000,0.108699,0.7598,0.7598
2.730000,0.101769,0.7500,0.7500
2.780000,0.094414,0.7500,0.7500
2.830000,0.088529,0.7492,0.7492
2.880000,0.083217,0.7394,0.7394
2.930000,0.074783,0.6795,0.6795
2.980000,0.066676,0.6697,0.6697
3.030000,0.062344,0.6598,0.6598
3.080000,0.053583,0.6500,0.6500
3.130000,0.043841,0.6500,0.6500
3.180000,0.036568,0.6500,0.6500
3.230000,0.028068,0.5992,0.5992
3.280000,0.014649,0.5894,0.5894
3.330000,0.002553,0.5795,0.5795
3.380000,-0.011912,0.5697,0.5697
3.430000,-0.025135,0.5098,0.5098
3.480000,-0.040647,0.5000,0.5000
3.530000,-0.054671,0.5000,0.5000
3.580000,-0.070575,0.5000,0.5000
3.630000,-0.084419,0.4500,0.4500
3.680000,-0.101124,0.4598,0.4598
3.730000,-0.121098,0.4197,0.4197
3.780000,-0.140238,0.4295,0.4295
3.830000,-0.158790,0.4394,0.4394
3.880000,-0.184142,0.4000,0.4000
3.930000,-0.209231,0.4098,0.4098
3.980000,-0.234142,0.3697,0.3697
4.030000,-0.258790,0.3795,0.3795
4.082795,-0.287443,0.3898,0.3898
4.134037,-0.317061,0.4200,0.4200
4.183890,-0.347234,0.4200,0.4200
4.232517,-0.381902,0.3995,0.3995
4.282877,-0.417698,0.4297,0.4297
4.330785,-0.453887,0.4200,0.4200
4.376568,-0.494079,0.3898,0.3898
4.420552,-0.534583,0.3995,0.3995
4.463066,-0.578846,0.4200,0.4200
4.507231,-0.623010,0.4200,0.4200
4.549026,-0.670363,0.4598,0.4598
4.588941,-0.716881,0.4695,0.4695
4.630262,-0.765688,0.4894,0.4894
4.669130,-0.817110,0.4598,0.4598
4.706201,-0.866963,0.4598,0.4598
4.742128,-0.918205,0.4695,0.4695
4.780360,-0.971000,0.4695,0.4695
4.819997,-1.021000,0.4394,0.4394
4.857509,-1.071000,0.4695,0.4695
4.893877,-1.123795,0.4894,0.4894
4.930082,-1.175037,0.4997,0.4997
4.962592,-1.224890,0.4695,0.4695
4.995021,-1.273517,0.4894,0.4894
5.030981,-1.321082,0.4900,0.4900
5.066940,-1.367747,0.4900,0.4900
5.099369,-1.413677,0.4900,0.4900
5.131880,-1.461830,0.4997,0.4997
5.165289,-1.510817,0.4695,0.4695
5.200415,-1.559411,0.4894,0.4894
5.238075,-1.603756,0.5295,0.5295
5.274573,-1.644504,0.4900,0.4900
5.313361,-1.685106,0.4894,0.4894
5.355090,-1.724661,0.4695,0.4695
