x_m,y_m,w_tr_right_m,w_tr_left_m,psi_rad,kappa_radpm,vx_mps
-12.609279,2.085726,0.8348,0.8605,1.656923,-0.319206,7.1299
-12.620843,2.335584,0.8414,0.9458,1.563688,-0.427540,6.5328
-12.605728,2.585320,0.8258,1.0508,1.457256,-0.425478,6.5328
-12.564237,2.831995,0.7798,1.1779,1.348464,-0.446449,6.3779
-12.495585,3.072523,0.7168,1.3395,1.235133,-0.462172,6.2070
-12.399732,3.303537,0.6388,1.5152,1.116581,-0.488612,5.9976
-12.276526,3.521172,0.5195,1.6448,0.990056,-0.526675,5.7971
-12.125928,3.720777,0.4400,1.7435,0.853925,-0.566395,5.5781
-11.948793,3.897209,0.4078,1.6849,0.706101,-0.621563,5.2878
-11.746616,4.044244,0.4000,1.4629,0.542520,-0.694368,4.9567
-11.522165,4.154406,0.4058,1.1990,0.375184,-0.651941,4.9567
-11.282799,4.226913,0.4528,0.9873,0.221432,-0.583810,5.1432
-11.035422,4.263983,0.5490,0.8612,0.084026,-0.519237,5.4823
-10.785307,4.268814,0.6353,0.7823,-0.038469,-0.463249,5.8606
-10.536310,4.244773,0.7331,0.7479,-0.148047,-0.415018,6.2482
-10.291127,4.195113,0.7930,0.7103,-0.246078,-0.370314,6.6409
-10.051573,4.123023,0.8076,0.6560,-0.320195,-0.223040,7.0692
-9.816409,4.037694,0.8467,0.6370,-0.365734,-0.141216,9.2738
-9.584404,3.944114,0.8602,0.6102,-0.394769,-0.090955,11.7319
-9.354587,3.845280,0.8643,0.5888,-0.413479,-0.058635,13.4067
-9.126245,3.743086,0.8471,0.5625,-0.425429,-0.036903,15.0773
-8.898856,3.638788,0.7828,0.5015,-0.432656,-0.020881,16.6860
-8.672015,3.533304,0.6711,0.4063,-0.436405,-0.009089,18.1637
-8.445415,3.427305,0.6362,0.4001,-0.437593,-0.000406,17.9642
-8.218825,3.321282,0.7014,0.5031,-0.437758,-0.000912,17.7626
-7.992259,3.215208,0.7566,0.6086,-0.438095,-0.001784,17.5586
-7.765741,3.109033,0.7694,0.6785,-0.438600,-0.002257,17.3522
-7.539282,3.002730,0.7636,0.7351,-0.439212,-0.002635,17.1433
-7.312894,2.896277,0.7853,0.8220,-0.439903,-0.002888,16.9319
-7.086583,2.789661,0.7525,0.8520,-0.440652,-0.003096,16.7178
-6.860354,2.682870,0.7520,0.8907,-0.441446,-0.003252,16.5009
-6.634213,2.575895,0.7338,0.8914,-0.442273,-0.003361,16.2811
-6.408161,2.468729,0.7160,0.8862,-0.443122,-0.003428,16.0583
-6.182201,2.361370,0.7144,0.8945,-0.443985,-0.003469,15.8324
-5.956335,2.253815,0.6597,0.8664,-0.444856,-0.003499,15.6032
-5.730563,2.146062,0.6884,0.9276,-0.445732,-0.003506,15.3706
-5.504885,2.038111,0.6850,0.9372,-0.446642,-0.003770,15.1344
-5.279310,1.929948,0.7029,0.9482,-0.447664,-0.004395,14.8945
-5.053853,1.821536,0.6939,0.9201,-0.448855,-0.005130,14.6506
-4.828536,1.712835,0.6951,0.8983,-0.450244,-0.005972,14.4026
-4.603381,1.603798,0.6658,0.8475,-0.451861,-0.006959,14.1503
-4.378417,1.494369,0.6676,0.8353,-0.453748,-0.008120,13.8934
-4.153675,1.384483,0.6118,0.7724,-0.455952,-0.009505,13.6316
-3.929195,1.274063,0.4601,0.6182,-0.458533,-0.011131,13.3648
-3.705024,1.163018,0.4022,0.5715,-0.461578,-0.013206,13.0924
-3.481221,1.051233,0.4523,0.6421,-0.464739,-0.012065,12.8143
-3.257756,0.938774,0.5614,0.7862,-0.467541,-0.010338,12.5301
-3.034582,0.825736,0.5649,0.8389,-0.469831,-0.007974,12.2392
-2.811635,0.712254,0.5855,0.9174,-0.471410,-0.004651,11.9382
-2.588820,0.598513,0.5355,0.9426,-0.471985,0.000057,11.6260
-2.366003,0.484774,0.5156,1.0208,-0.471168,0.006478,11.3016
-2.143002,0.371397,0.4746,1.0741,-0.468486,0.014956,10.9638
-1.919579,0.258855,0.4770,1.1368,-0.463216,0.027181,10.6115
-1.695395,0.147835,0.4677,1.1658,-0.454073,0.045912,10.2432
-1.469951,0.039397,0.4557,1.1736,-0.438800,0.076202,9.8149
-1.242482,-0.064724,0.4450,1.1679,-0.413543,0.125745,9.3449
-1.011846,-0.161642,0.4387,1.1582,-0.370047,0.222163,8.8543
-0.776192,-0.245606,0.4656,1.1652,-0.309304,0.263823,8.3545
-0.535504,-0.313862,0.4819,1.1347,-0.238308,0.304353,7.8483
-0.290321,-0.363635,0.5437,1.1283,-0.156263,0.352450,7.2620
-0.041702,-0.391659,0.5690,1.0706,-0.061842,0.403760,6.7422
0.208480,-0.394521,0.5975,1.0053,0.045870,0.459365,6.2776
0.457350,-0.368752,0.6069,0.9156,0.167997,0.519947,5.8561
0.700801,-0.311026,0.5682,0.7796,0.305987,0.587556,5.4622
0.933220,-0.218421,0.5230,0.6450,0.461853,0.664771,5.0850
1.147232,-0.088811,0.4929,0.5374,0.638808,0.759396,4.7002
1.333098,0.078566,0.4935,0.4687,0.841208,0.872320,4.3215
1.478835,0.282037,0.5104,0.4162,1.079677,1.059448,3.8251
1.566919,0.515755,0.5712,0.4021,1.347975,1.117312,3.6958
1.588280,0.765061,0.6810,0.4532,1.596013,0.894686,3.6958
1.554383,1.012747,0.7835,0.5639,1.804206,0.785033,4.2546
1.473155,1.249304,0.8152,0.6795,1.987405,0.690583,4.6075
1.352691,1.468537,0.8394,0.8376,2.148829,0.607172,4.9727
1.200565,1.667156,0.7722,0.9274,2.290402,0.529450,5.3599
1.023616,1.844035,0.6416,0.9549,2.413385,0.456824,5.7964
0.827697,1.999640,0.5690,1.0269,2.518922,0.388828,6.2970
0.617623,2.135517,0.5155,1.0958,2.608039,0.324781,6.8831
0.397233,2.253916,0.4678,1.1467,2.681733,0.265026,7.5907
0.169493,2.357465,0.4435,1.1960,2.742192,0.218698,8.4644
-0.063550,2.448406,0.4367,1.2335,2.788488,0.151592,9.3703
-0.299886,2.530455,0.4266,1.2408,2.816557,0.072869,11.3461
-0.537671,2.608179,0.4176,1.2180,2.830443,0.038151,13.3691
-0.776189,2.683631,0.4621,1.2124,2.837109,0.015139,14.9350
-1.014991,2.758180,0.5411,1.2169,2.839070,0.000540,16.4853
-1.253803,2.832696,0.6100,1.2026,2.837951,-0.009486,17.9742
-1.492437,2.907778,0.6524,1.1626,2.834741,-0.016179,19.3794
-1.730766,2.983826,0.6710,1.1068,2.830122,-0.020744,19.9597
-1.968696,3.061110,0.5991,0.9694,2.824546,-0.023839,19.7783
-2.206162,3.139811,0.4740,0.7889,2.818350,-0.025698,19.5954
-2.443117,3.220037,0.4090,0.6821,2.811694,-0.027514,19.4106
-2.679513,3.301892,0.4157,0.6630,2.805050,-0.025598,19.2242
-2.915381,3.385259,0.4986,0.7382,2.799213,-0.021071,19.0358
-3.150806,3.469869,0.6007,0.8439,2.794328,-0.017984,18.8457
-3.385848,3.555536,0.6571,0.9121,2.790172,-0.015241,18.6535
-3.620562,3.642100,0.6694,0.9448,2.786642,-0.012982,18.4594
-3.854994,3.729425,0.6545,0.9579,2.783635,-0.011058,18.2632
-4.089182,3.817398,0.6484,0.9764,2.781073,-0.009423,18.0649
-4.323163,3.905923,0.6586,0.9905,2.778890,-0.008023,17.8643
-4.556966,3.994918,0.6687,0.9854,2.777034,-0.006817,17.6615
-4.790617,4.084311,0.6627,0.9608,2.775459,-0.005775,17.4564
-5.024138,4.174042,0.6535,0.9358,2.774127,-0.004872,17.2488
-5.257550,4.264057,0.6376,0.9167,2.773007,-0.004088,17.0386
-5.490869,4.354311,0.6304,0.9153,2.772073,-0.003373,16.8259
-5.724112,4.444761,0.6448,0.9228,2.771292,-0.002873,16.6104
-5.957291,4.535380,0.6729,0.9253,2.770621,-0.002495,16.3921
-6.190412,4.626143,0.7019,0.9152,2.770047,-0.002092,16.1708
-6.423486,4.717029,0.7155,0.8847,2.769574,-0.001684,15.9465
-6.656522,4.808013,0.7106,0.8371,2.769197,-0.001335,15.7190
-6.889527,4.899075,0.7173,0.8053,2.768905,-0.000998,15.4881
-7.122510,4.990195,0.6522,0.7115,2.768706,-0.000591,15.2537
-7.355479,5.081350,0.5392,0.5806,2.768618,-0.000120,15.0157
-7.588445,5.172511,0.4541,0.4890,2.768657,0.000433,14.7739
-7.821422,5.263647,0.4627,0.5036,2.768847,0.001085,14.5280
-8.054423,5.354720,0.5594,0.6178,2.769215,0.001858,14.2779
-8.287466,5.445685,0.6680,0.7542,2.769795,0.002779,14.0233
