x_m,y_m,w_tr_right_m,w_tr_left_m
-2.282282,-2.777966,0.6397,0.6397
-2.329371,-2.825622,0.6300,0.6300
-2.377007,-2.874095,0.6397,0.6397
-2.424230,-2.922307,0.6300,0.6300
-2.470949,-2.971031,0.6300,0.6300
-2.517069,-3.020049,0.6300,0.6300
-2.563477,-3.069143,0.6300,0.6300
-2.609205,-3.118092,0.6300,0.6300
-2.654153,-3.166670,0.6300,0.6300
-2.699204,-3.214651,0.6698,0.6698
-2.744367,-3.262788,0.6698,0.6698
-2.789654,-3.309982,0.6698,0.6698
-2.835077,-3.356114,0.6300,0.6300
-2.880647,-3.402046,0.6300,0.6300
-2.926375,-3.447658,0.6397,0.6397
-2.972273,-3.492828,0.6494,0.6494
-3.018351,-3.538305,0.6591,0.6591
-3.064622,-3.582985,0.6698,0.6698
-3.111095,-3.625766,0.6698,0.6698
-3.157783,-3.668266,0.6698,0.6698
-3.204698,-3.709382,0.6698,0.6698
-3.251849,-3.748011,0.6698,0.6698
-3.299249,-3.784902,0.6795,0.6795
-3.346909,-3.821787,0.6892,0.6892
-3.394840,-3.857568,0.6795,0.6795
-3.443053,-3.893000,0.6698,0.6698
-3.491560,-3.926121,0.6591,0.6591
-3.540373,-3.957810,0.6492,0.6492
-3.589501,-3.987091,0.6494,0.6494
-3.638957,-4.014845,0.6492,0.6492
-3.688752,-4.040099,0.6300,0.6300
-3.738897,-4.064607,0.6397,0.6397
-3.789404,-4.088272,0.6095,0.6095
-3.840283,-4.110134,0.6192,0.6192
-3.891547,-4.131090,0.5992,0.5992
-3.943206,-4.151058,0.5894,0.5894
-3.994287,-4.169092,0.6192,0.6192
-4.045669,-4.186103,0.5992,0.5992
-4.096376,-4.201152,0.5894,0.5894
-4.147283,-4.215160,0.6197,0.6197
-4.199266,-4.228067,0.6197,0.6197
-4.251235,-4.239820,0.6098,0.6098
-4.303085,-4.250370,0.6000,0.6000
-4.354823,-4.259675,0.6394,0.6394
-4.407327,-4.267698,0.6492,0.6492
-4.459626,-4.274409,0.6591,0.6591
-4.512600,-4.279781,0.6697,0.6697
-4.564294,-4.283796,0.6795,0.6795
