x_m,y_m,w_tr_right_m,w_tr_left_m
1.476000,3.871015,0.8591,0.8591
1.426000,3.879106,0.8689,0.8689
1.376000,3.885726,0.8788,0.8788
1.326000,3.890875,0.9089,0.9089
1.276000,3.897347,0.9098,0.9098
1.226000,3.900796,0.9000,0.9000
1.176000,3.901385,0.9000,0.9000
1.126000,3.899276,0.9000,0.9000
1.076000,3.894634,0.9000,0.9000
1.026000,3.890417,0.9000,0.9000
0.976000,3.882441,0.8992,0.8992
0.926000,3.873827,0.8894,0.8894
0.876000,3.860554,0.8795,0.8795
0.826000,3.847625,0.9197,0.9197
0.776000,3.835693,0.9098,0.9098
0.726000,3.823859,0.9000,0.9000
0.676000,3.808593,0.9000,0.9000
0.626000,3.793670,0.9500,0.9500
0.576000,3.775723,0.9500,0.9500
0.526000,3.758691,0.9500,0.9500
0.476000,3.742166,1.0000,1.0000
0.426000,3.725903,1.0000,1.0000
0.373205,3.705308,0.9992,0.9992
0.321963,3.683094,1.0394,1.0394
0.269315,3.659345,1.0295,1.0295
0.219446,3.629793,1.0697,1.0697
0.172028,3.597478,1.1098,1.1098
0.123941,3.562810,1.1000,1.1000
0.079204,3.526360,1.1500,1.1500
0.034532,3.488864,1.2000,1.2000
-0.009011,3.446710,1.2384,1.2384
-0.047733,3.403591,1.1984,1.1984
-0.085246,3.356059,1.1484,1.1484
-0.120813,3.307972,1.1598,1.1598
-0.153863,3.260554,1.1197,1.1197
-0.181192,3.210685,1.0795,1.0795
-0.206903,3.158037,1.0894,1.0894
-0.230751,3.106795,1.0492,1.0492
-0.252653,3.054000,1.0500,1.0500
-0.272692,3.004000,1.0492,1.0492
-0.291113,2.954000,0.9894,0.9894
-0.308325,2.904000,0.9795,0.9795
-0.324899,2.854000,0.9197,0.9197
-0.337060,2.804000,0.9098,0.9098
-0.348338,2.754000,0.9000,0.9000
-0.355121,2.704000,0.9000,0.9000
-0.361104,2.654000,0.9000,0.9000
-0.367347,2.604000,0.9000,0.9000
-0.370568,2.554000,0.9000,0.9000
-0.374785,2.504000,0.8500,0.8500
-0.374082,2.454000,0.8500,0.8500
-0.372480,2.404000,0.9000,0.9000
-0.374000,2.354000,0.8500,0.8500
-0.375520,2.304000,0.8500,0.8500
-0.376713,2.254000,0.8500,0.8500
-0.377253,2.204000,0.8500,0.8500
-0.381323,2.154000,0.8500,0.8500
-0.385965,2.104000,0.8500,0.8500
-0.391015,2.054000,0.8500,0.8500
-0.396311,2.004000,0.8500,0.8500
-0.401689,1.954000,0.8500,0.8500
-0.406985,1.904000,0.8500,0.8500
-0.412035,1.854000,0.8500,0.8500
-0.416677,1.804000,0.8500,0.8500
-0.420747,1.754000,0.8500,0.8500
-0.424082,1.704000,0.8098,0.8098
-0.426517,1.654000,0.8197,0.8197
