x_m,y_m,w_tr_right_m,w_tr_left_m,psi_rad,kappa_radpm,vx_mps
-12.545424,1.607353,0.8033,0.7341,1.777040,-0.176585,6.0193
-12.591211,1.853138,0.8285,0.7941,1.723364,-0.253082,5.9303
-12.621378,2.101322,0.8430,0.8590,1.643968,-0.383005,5.8143
-12.627723,2.351244,0.8574,0.9533,1.546962,-0.394570,5.6926
-12.609476,2.600566,0.8526,1.0683,1.446434,-0.411319,5.5683
-12.565783,2.846737,0.8102,1.1898,1.340692,-0.436657,5.4411
-12.495607,3.086661,0.7223,1.3164,1.227405,-0.472143,5.3109
-12.397758,3.316662,0.6452,1.5171,1.107628,-0.489115,5.1775
-12.272680,3.533049,0.5207,1.6502,0.979952,-0.536155,5.0405
-12.119953,3.730815,0.4298,1.7377,0.840312,-0.586060,4.8997
-11.940141,3.904273,0.4012,1.6672,0.685840,-0.656590,4.7548
-11.734522,4.046238,0.4048,1.4366,0.522385,-0.659123,4.7451
-11.508508,4.152779,0.4087,1.1543,0.360298,-0.645182,4.7451
-11.268299,4.221884,0.4786,0.9642,0.208706,-0.573779,4.7991
-11.020651,4.256102,0.5603,0.8430,0.074054,-0.507679,5.1056
-10.770666,4.258803,0.6604,0.7937,-0.046035,-0.455920,5.4442
-10.521976,4.233130,0.7374,0.7517,-0.153879,-0.408929,5.7584
-10.277193,4.182263,0.7951,0.7208,-0.249913,-0.360789,6.0933
-10.037967,4.109587,0.7969,0.6614,-0.321737,-0.214507,6.5012
-9.802982,4.024200,0.8363,0.6482,-0.365289,-0.134045,6.9056
-9.570993,3.930991,0.8707,0.6379,-0.392680,-0.085108,7.2756
-9.341037,3.832867,0.8497,0.5860,-0.409991,-0.053378,7.6410
-9.112413,3.731683,0.8454,0.5673,-0.420703,-0.032314,7.8236
-8.884613,3.628655,0.7749,0.4973,-0.426970,-0.017821,7.7697
-8.657275,3.524614,0.6783,0.4163,-0.430052,-0.006839,7.7155
-8.430115,3.420184,0.6394,0.4041,-0.431562,-0.005237,7.6608
-8.203091,3.315457,0.7031,0.5048,-0.432896,-0.005437,7.6058
-7.976211,3.210421,0.7655,0.6161,-0.434215,-0.005116,7.5504
-7.749465,3.105095,0.7843,0.6918,-0.435474,-0.004949,7.4945
-7.522849,2.999488,0.7749,0.7425,-0.436686,-0.004748,7.4383
-7.296359,2.893613,0.7838,0.8146,-0.437851,-0.004569,7.3816
-7.069990,2.787479,0.7716,0.8625,-0.438971,-0.004394,7.3245
-6.843738,2.681096,0.7652,0.8929,-0.440049,-0.004226,7.2669
-6.617598,2.574475,0.7391,0.8862,-0.441086,-0.004069,7.2089
-6.391567,2.467623,0.7279,0.8865,-0.442085,-0.003925,7.1504
-6.165640,2.360550,0.7113,0.8811,-0.443049,-0.003789,7.0914
-5.939816,2.253262,0.6904,0.8858,-0.443982,-0.003669,7.0319
-5.714090,2.145768,0.6955,0.9206,-0.444882,-0.003532,6.9719
-5.488458,2.038074,0.6992,0.9365,-0.445776,-0.003623,6.9114
-5.262925,1.930176,0.7225,0.9520,-0.446739,-0.004077,6.8502
-5.037501,1.822048,0.7162,0.9250,-0.447830,-0.004651,6.7876
-4.812204,1.713658,0.7032,0.8893,-0.449074,-0.005303,6.7235
-4.587050,1.604970,0.6731,0.8381,-0.450495,-0.006067,6.6579
-4.362062,1.495940,0.6784,0.8290,-0.452123,-0.006952,6.5908
-4.137263,1.386519,0.6038,0.7469,-0.453994,-0.008020,6.5222
-3.912684,1.276647,0.4656,0.6057,-0.456147,-0.009196,6.4518
-3.688359,1.166260,0.4070,0.5563,-0.458664,-0.010943,6.3798
-3.464336,1.055259,0.4513,0.6206,-0.461292,-0.010081,6.3061
-3.240594,0.943694,0.5611,0.7647,-0.463580,-0.008220,6.2305
-3.017081,0.831670,0.5781,0.8290,-0.465338,-0.005848,6.1530
-2.793733,0.719318,0.5810,0.8894,-0.466385,-0.002523,6.0737
-2.570455,0.606826,0.5587,0.9413,-0.466433,0.002141,5.9922
-2.347117,0.494454,0.5486,1.0243,-0.465091,0.008596,5.9087
-2.123538,0.382561,0.5118,1.0756,-0.461871,0.017160,5.8230
-1.899482,0.271629,0.4921,1.1121,-0.456063,0.029297,5.7350
-1.674619,0.162341,0.4813,1.1354,-0.446489,0.047299,5.6445
