x_m,y_m,w_tr_right_m,w_tr_left_m,psi_rad,kappa_radpm,vx_mps
12.332775,7.314821,1.4408,1.3834,2.645471,0.084641,6.0000
12.100233,7.427608,1.3680,1.4180,2.727140,0.072998,6.0000
11.863434,7.521300,1.3104,1.4455,2.802111,0.074138,6.0000
11.623097,7.596110,1.2663,1.4590,2.878963,0.078379,6.0000
11.379333,7.651446,1.2542,1.4396,2.956807,0.076819,6.0000
11.131529,7.687993,1.2618,1.4163,3.029690,0.068520,6.0000
10.880102,7.707545,1.2714,1.3764,3.092845,0.056775,6.0000
10.625803,7.712665,1.3067,1.3040,-3.136130,0.050025,6.0000
10.369987,7.704759,1.3521,1.2346,-3.092137,0.036028,6.0000
10.112952,7.687281,1.4158,1.1448,-3.063325,0.019999,6.0000
9.854532,7.664332,1.4658,1.0579,-3.049229,0.007339,6.0000
9.597393,7.639526,1.5406,0.9708,-3.052430,-0.013490,6.0000
9.338489,7.618198,1.6231,0.8794,-3.078706,-0.036035,6.0000
9.070849,7.606370,1.7139,0.8006,-3.119293,-0.038464,6.0000
8.786746,7.605893,1.8235,0.7302,3.121439,-0.036055,6.0000
8.484397,7.618191,1.9413,0.6564,3.076170,-0.039249,6.0000
8.170097,7.646293,2.0558,0.6005,3.017158,-0.055467,6.0000
7.855959,7.696797,2.1910,0.5576,2.943063,-0.059894,6.0000
7.538112,7.773435,2.3452,0.5204,2.859633,-0.065277,6.0000
7.208615,7.884317,2.4908,0.5120,2.776356,-0.054493,6.0000
6.865755,8.030540,2.6589,0.5000,2.700771,-0.046912,6.0000
6.508689,8.214532,2.8582,0.5000,2.622929,-0.049423,6.0000
6.140960,8.444245,3.0749,0.5000,2.519071,-0.065881,6.0000
5.762407,8.750155,3.3179,0.5000,2.376389,-0.078854,6.0000
5.400270,9.155607,3.5724,0.5000,2.156292,-0.129243,5.9215
5.156208,9.664412,3.7572,0.5837,1.824497,-0.173418,5.7501
5.119450,10.238648,3.7853,0.6101,1.414752,-0.193148,5.5735
5.333411,10.790770,3.6439,0.5000,1.028194,-0.149002,5.7501
5.723254,11.240026,3.3964,0.5000,0.780544,-0.069713,5.9215
6.139760,11.589329,3.1682,0.5000,0.614721,-0.085122,6.0000
6.564625,11.834008,2.9490,0.5000,0.454515,-0.077658,6.0000
6.971951,11.995966,2.7340,0.5000,0.336744,-0.053171,6.0000
7.347160,12.107957,2.5451,0.5160,0.254122,-0.050797,6.0000
7.692272,12.183061,2.3816,0.5000,0.193508,-0.031398,6.0000
8.018020,12.239418,2.2520,0.5201,0.144731,-0.040938,6.0000
8.340606,12.277555,2.1270,0.5080,0.094811,-0.036931,6.0000
8.649369,12.299457,2.0232,0.5437,0.049756,-0.036064,6.0000
8.941085,12.307458,1.9411,0.5441,0.012355,-0.027437,6.0000
9.215396,12.306451,1.8590,0.5930,-0.016257,-0.025083,6.0000
9.465701,12.298928,1.8043,0.6089,-0.041128,-0.022456,6.0000
9.712161,12.286008,1.7474,0.6633,-0.062350,-0.019955,6.0000
9.961479,12.267977,1.7188,0.6846,-0.082001,-0.019685,6.0000
10.209432,12.245140,1.6962,0.7517,-0.102193,-0.020451,6.0000
10.460917,12.216759,1.6678,0.7856,-0.121687,-0.018311,6.0000
10.712970,12.183562,1.5952,0.8625,-0.135214,-0.008368,6.0000
10.964961,12.148187,1.5491,0.9041,-0.136858,0.005121,6.0000
11.217571,12.114069,1.5149,0.9813,-0.129203,0.009851,6.0000
11.471819,12.082332,1.4830,1.0177,-0.118842,0.010500,6.0000
11.724413,12.053549,1.4541,1.0791,-0.105613,0.015505,6.0000
11.976327,12.028851,1.3844,1.1213,-0.090814,0.013622,6.0000
12.229282,12.007574,1.3579,1.1747,-0.081035,0.005702,6.0000
12.481297,11.987841,1.3381,1.2125,-0.073474,0.009236,6.0000
12.733328,11.970473,1.2984,1.2615,-0.057136,0.023123,6.0000
12.985402,11.959007,1.2591,1.2911,-0.030833,0.029005,6.0000
13.237461,11.954924,1.2548,1.3168,-0.003712,0.024813,6.0000
13.489099,11.957137,1.2253,1.3433,0.017710,0.017737,6.0000
13.740294,11.963830,1.2134,1.3497,0.036292,0.019226,6.0000
13.991161,11.975366,1.2144,1.3755,0.058038,0.024128,6.0000
14.241002,11.992923,1.1941,1.3705,0.083624,0.026839,6.0000
14.490771,12.017243,1.1952,1.3839,0.111962,0.029685,6.0000
14.739707,12.048994,1.1983,1.3583,0.143579,0.033501,6.0000
14.986110,12.088856,1.2078,1.3622,0.177549,0.034241,6.0000
15.232003,12.137330,1.2284,1.3154,0.208649,0.027844,6.0000
15.477420,12.192882,1.2449,1.2996,0.235876,0.026338,6.0000
15.721637,12.255014,1.2676,1.2454,0.266883,0.035008,6.0000
15.965093,12.326214,1.2977,1.2033,0.304600,0.039225,6.0000
16.207734,12.407835,1.3405,1.1435,0.338777,0.027832,6.0000
16.448553,12.496567,1.3929,1.0935,0.367778,0.028905,6.0000
16.685349,12.591864,1.4468,1.0249,0.405176,0.044631,6.0000
16.915432,12.696815,1.5085,0.9674,0.454133,0.053212,6.0000
17.133614,12.810690,1.5769,0.8987,0.506107,0.053055,6.0000
17.337241,12.930606,1.6555,0.8377,0.555500,0.051877,6.0000
17.524898,13.053559,1.7433,0.7789,0.603490,0.055910,6.0000
17.694536,13.176880,1.8407,0.7345,0.653384,0.063133,6.0000
17.847135,13.300250,1.9157,0.6891,0.705727,0.069562,6.0000
17.985174,13.424539,1.9046,0.6348,0.761302,0.076855,6.0000
18.114733,13.555253,1.8698,0.6077,0.823665,0.092097,6.0000
18.235018,13.694275,1.8286,0.5898,0.899018,0.111275,6.0000
18.345130,13.845006,1.7738,0.5505,0.989588,0.129326,6.0000
